None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

1	114	55

1	130	62

1	138	67

1	152	74

1	164	83

None

None

None

1	203	105

1	222	118

1	233	128

1	240	136

1	241	141

1	241	146

1	237	148

1	232	150

1	230	154

1	226	157

1	225	161

1	222	164

1	222	171

1	218	174

1	218	181

1	215	186

1	212	191

1	209	197

1	203	199

1	197	202

1	192	205

1	186	207

1	181	209

1	176	212

1	171	214

1	165	215

1	160	216

1	156	218

1	152	222

1	150	227

1	147	231

1	143	231

1	140	236

1	137	236

1	133	236

1	133	241

1	131	246

1	128	246

1	125	248

1	122	247

1	118	246

1	116	247

1	114	248

1	113	249

1	111	249

1	110	252

1	109	256

1	108	259

1	106	259

1	98	245

1	91	231

1	91	231

1	89	231

1	89	234

1	88	235

1	86	234

1	85	235

1	85	237

1	83	235

1	82	237

1	81	237

1	78	232

1	76	228

1	73	221

1	68	206

1	67	201

1	66	199

1	66	197

1	66	195

1	66	195

1	67	196

1	67	195

1	67	191

1	66	188

1	66	186

1	66	188

1	65	184

1	64	180

1	62	175

1	60	168

1	58	161

1	56	153

1	56	150

1	55	147

None

None

None

1	51	131

None

None

None

None

1	48	115

1	47	109

1	48	106

None

1	49	104

1	50	103

1	52	102

None

1	53	99

1	54	96

1	54	90

1	57	92

1	59	91

1	60	90

1	61	89

1	62	87

1	65	89

1	65	88

1	62	81

None

None

None

None

None

None

None

None

None

1	56	64

1	60	65

1	65	66

1	70	67

1	69	62

1	74	63

1	72	59

1	73	57

1	74	55

1	79	57

1	85	60

1	86	59

1	89	60

1	91	59

1	93	60

1	92	59

1	93	58

1	94	58

1	94	57

1	94	57

1	94	56

1	96	57

1	98	57

1	100	58

1	100	58

1	99	57

1	100	57

1	101	57

1	100	57

1	100	56

1	102	58

1	104	58

1	102	57

1	103	58

1	103	57

1	103	57

1	103	57

1	105	58

1	106	58

1	104	57

1	105	58

1	105	58

1	106	59

1	105	58

1	105	58

1	105	58

1	105	58

1	105	57

1	104	57

1	103	57

1	104	56

1	104	56

1	104	56

1	104	56

1	104	56

1	104	56

1	105	56

1	106	56

1	105	57

1	105	56

1	104	56

1	105	57

1	105	57

1	105	56

1	106	56

1	104	56

1	105	56

1	105	56

1	105	56

1	106	57

1	106	57

1	106	57

1	105	56

1	105	56

1	105	56

1	105	56

1	104	55

1	105	56

1	105	56

1	106	56

1	105	55

1	106	56

1	108	57

1	108	57

1	108	58

1	108	58

1	107	58

1	106	57

1	106	57

1	105	57

1	105	57

1	105	56

1	106	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	105	56

1	106	56

1	106	56

1	106	56

1	106	57

1	106	57

1	106	57

1	106	57

1	106	57

1	106	57

1	106	57

1	105	56

1	106	57

1	106	57

1	105	56

1	105	57

1	105	56

1	106	56

1	105	57

1	104	56

1	105	56

1	107	58

1	108	58

1	108	59

1	108	59

1	111	61

1	111	61

1	110	61

1	109	61

1	108	61

1	108	61

1	107	61

1	107	61

1	106	61

1	103	59

1	104	59

1	104	59

1	104	59

1	105	59

1	105	59

1	104	59

1	104	59

1	103	59

1	103	59

1	102	58

1	102	57

1	102	57

1	101	57

1	102	57

1	101	57

1	102	57

1	102	56

1	103	56

1	108	60

1	108	60

1	106	59

1	105	59

1	107	60

1	106	60

1	108	60

1	109	61

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

